id,dist_cap_km,taxa_fec,renda_cap,pobreza,pop_ate_25_2000,perc_ate_25_2000,var_pop_ate_25,perc_pop_urb,player
510300,40.06548173,2.32,189.27,48.88,8484,0.5384957156458268,1.1095997907402564,0.5999365280863218,0
520547,398.4667235,2.36,381.03,33.53,1968,0.5209105346744309,1.8513640639698965,0.7458973001588142,0
210330,218.8486387,3.62,76.65,59.36,65066,0.5854101812031022,1.034484951587516,0.6756248537959081,0
210350,388.5215872,3.91,74.98,61.7,21830,0.6097254420020669,1.1462326069834603,0.5815434460799375,0
520552,307.8603158,4.62,125.68,52.32,2069,0.5588870880605078,0.9464775846294602,0.6075094543490005,0
311680,211.3878637,3.27,108.29,55.2,5298,0.5654819084213897,0.8402854877081681,0.3606574874586402,1
170560,254.4002689,3.49,91.7,57.45,2676,0.6113776559287183,0.8036036036036036,0.5334704135252456,0
410610,219.3645474,2.86,203.58,41.25,1660,0.4793531619982674,0.8718487394957983,0.6947733179324286,1
311840,269.8854123,2.06,208.68,40.86,10432,0.47998527652525996,0.8171066029607582,0.7642863715836937,1
290910,649.4217945,3.09,55.83,67.71,8412,0.5553208344335886,0.9549324554432966,0.3759572220755215,0
500320,352.576825,3.32,226.18,46.14,51421,0.5373089100427373,1.0267566542201634,0.9001368846720514,0
351300,29.48618192,2.13,431.58,51.09,74435,0.4996073482921329,1.267690788017099,1.0,1
230423,273.2231301,3.77,54.72,63.63,9231,0.5746389442231076,0.9918341033630601,0.4543077689243028,0
420500,525.9146512,3.19,191.67,46.19,7299,0.5122105263157894,0.9507620164126612,0.6042105263157894,0
312210,284.1776125,2.53,178.91,41.59,2363,0.4759315206445116,0.8067599863434619,0.584491440080564,1
500348,72.5735487,3.47,132.22,51.53,5064,0.5424745581146224,0.9665966787554877,0.4673808248527049,0
430660,346.0921475,2.51,278.53,38.84,17477,0.43249195743627816,0.9909843501927875,0.8857955951497154,0
500370,198.264169,2.3,308.07,39.49,82794,0.5019369623338122,1.0993321206166267,0.9089354891511922,0
291060,144.2950119,3.52,83.2,59.03,16109,0.5915901579140653,1.1386061634153237,0.6440690414983474,0
210405,567.6097155,3.58,127.09,51.5,13641,0.5948975141735717,1.1639078498293516,0.6910597470562582,0
291080,92.54533409,2.25,206.99,47.18,254591,0.5293513449450982,1.0526857667387501,0.8976627459460359,0
270260,106.4857161,3.88,68.2,61.39,12588,0.5918194640338504,1.051365572538211,0.16723084156088389,0
210407,558.5021774,4.56,60.39,64.88,4808,0.6374121702240488,0.9740680713128039,0.1365504441203765,0
420543,432.875271,2.95,238.11,52.33,1278,0.4689908256880734,0.769416014449127,0.32697247706422017,0
170820,223.2184862,3.09,169.15,44.56,10612,0.5639581229739066,0.986062070247166,0.7045756496784822,0
170825,125.0152001,3.42,146.19,45.57,1240,0.5530776092774309,0.7420706163973668,0.7163247100802854,0
210420,356.279891,3.76,79.8,61.14,8621,0.5906412715812551,0.9047119319970616,0.6253768155659085,0
220400,157.0262315,3.02,58.42,67.73,2836,0.5397792158355539,0.9060702875399361,0.5942139322421013,0
